county,total_population,population_65plus,pct_65plus,licensed_facilities_all_types,licensed_beds,Medicaid_contracted_facilities,facilities_per_1000_seniors,beds_per_1000_seniors,facilities_with_enforcement,facilities_with_investigations,facilities_high_complaint_load,enforcement_rate_pct,investigation_rate_pct,enforcement_actions_per_1000_seniors,investigations_per_1000_seniors,total_civil_fine_docs,facility_source,enforcement_source,census_source,confidence_level
Clackamas,426300,89400,21.0,324,5661,210,3.62,63.32,61,88,29,18.8,27.2,1.3,2.82,0,"ltclicensing.oregon.gov/Providers, accessed 2026-07-12","ltclicensing.oregon.gov/Inspections + /Violations + /RegulatoryActions, accessed 2026-07-12","USAFacts (Census Bureau-derived), 2024/2025 vintage; accessed 2026-07-12","High (facility & enforcement counts, direct scrape); Medium (Census, third-party USAFacts source, not census.gov directly)"
Washington,611700,95600,15.6,468,7162,355,4.9,74.92,88,133,29,18.8,28.4,1.81,3.12,1,"ltclicensing.oregon.gov/Providers, accessed 2026-07-06","ltclicensing.oregon.gov/Inspections + /Violations + /RegulatoryActions, accessed 2026-07-06","USAFacts (Census Bureau-derived), 2024/2025 vintage; accessed 2026-07-06","High (facility & enforcement counts, direct scrape); Medium (Census, third-party USAFacts source, not census.gov directly)"
