facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
OR-F00588,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00093,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00178,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,1,0,0,0,2,,,1,1,
OR-F00257,Open,Washington,4,AFH,Medicaid,,,2026-07-06,Yes,7,1,1,9,0,0,1,17,,,1,1,
OR-F00193,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,0,0,3,0,0,0,7,,,1,1,
OR-F00720,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,1,0,0,0,4,,,1,1,
OR-F00321,Open,Washington,26,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,5,2,1,45,0,0,1,51,,,2,2,OR039
OR-F00642,Open,Washington,90,ALF,Medicaid,,,2026-07-06,Yes,5,2,0,34,0,0,0,39,,,2,2,OR039
OR-F00577,Open,Washington,24,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,3,1,1,48,0,0,1,52,,,1,2,OR040
OR-F00683,Open,Washington,75,ALF,Medicaid,,,2026-07-06,Yes,7,5,4,73,0,0,4,84,,,1,2,OR040
OR-F00667,Open,Washington,0,ALF,Medicaid,,,2026-07-06,Yes,8,5,6,148,0,0,6,162,,,1,1,
OR-F00575,Open,Washington,24,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,2,0,0,41,0,0,0,43,,,2,2,OR021
OR-F00679,Open,Washington,65,ALF,Medicaid,,,2026-07-06,Yes,3,1,0,57,0,0,0,60,,,2,2,OR021
OR-F00206,Open,Washington,87,NF,Medicaid,,,2026-07-06,Yes,0,0,0,29,0,0,0,29,,,1,1,
OR-F00195,Open,Washington,148,NF,Medicaid,,,2026-07-06,Yes,0,0,2,63,0,0,2,65,,,1,1,
OR-F00378,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,1,0,2,0,0,0,6,,,1,1,
OR-F00393,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,4,0,0,0,7,,,1,1,
OR-F00077,Open,Washington,1,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00584,Open,Washington,1,AFH,Medicaid,,,2026-07-06,Yes,3,0,1,2,0,0,1,6,,,1,1,
OR-F00504,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,1,0,2,0,0,0,6,,,1,1,
OR-F00199,Open,Washington,104,NF,Medicaid,,,2026-07-06,Yes,0,0,1,29,0,0,1,30,,,1,1,
OR-F00455,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,0,0,7,0,0,0,11,,,1,1,
OR-F00544,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,4,0,0,0,7,,,1,1,
OR-F00112,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00766,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,0,0,0,0,1,,,1,1,
OR-F00765,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,1,0,0,0,3,,,1,1,
OR-F00566,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,0,0,1,0,0,0,5,,,1,1,
OR-F00625,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,1,0,0,0,4,,,1,1,
OR-F00247,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,1,0,0,0,1,2,,,1,1,
OR-F00643,Open,Washington,69,ALF,,,,2026-07-06,No/Unknown,5,3,4,42,0,0,4,51,,,2,2,OR003
OR-F00339,Open,Washington,23,"RCF, Memory Care",,,,2026-07-06,No/Unknown,3,1,1,39,0,0,1,43,,,2,2,OR003
OR-F00537,Open,Washington,4,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00742,Open,Washington,3,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,2,0,0,0,5,,,1,1,
OR-F00296,Open,Washington,60,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,7,4,5,95,0,0,5,107,,,1,1,
OR-F00351,Open,Washington,42,"RCF, Memory Care",,,,2026-07-06,No/Unknown,3,0,0,4,0,0,0,7,,,1,1,
OR-F00629,Open,Washington,105,ALF,,,,2026-07-06,No/Unknown,2,0,1,14,0,0,1,17,,,1,1,
OR-F00456,Open,Washington,1,AFH,Medicaid,,,2026-07-06,Yes,4,1,0,1,0,0,0,5,,,1,1,
OR-F00542,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,21,13,2,20,0,0,2,43,,,1,1,
OR-F00522,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,0,0,0,0,3,,,1,2,OR002
OR-F00563,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,4,0,0,1,0,0,0,5,,,1,2,OR002
OR-F00278,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,5,0,0,0,0,0,0,5,,,1,1,
OR-F00403,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,1,0,4,0,0,0,8,,,1,1,
