facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
OR-F00720,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00321,Washington,26,Yes,"RCF, Memory Care",Medicaid,5,2,1,0,0,1,2,True,False,False,True,False,True,False,
OR-F00642,Washington,90,Yes,ALF,Medicaid,5,2,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00577,Washington,24,Yes,"RCF, Memory Care",Medicaid,3,1,1,0,0,1,2,True,False,False,True,False,True,False,
OR-F00683,Washington,75,Yes,ALF,Medicaid,7,5,4,0,0,4,2,True,False,True,True,False,True,False,
OR-F00667,Washington,0,Yes,ALF,Medicaid,8,5,6,0,0,6,1,False,False,True,True,False,True,False,
OR-F00575,Washington,24,Yes,"RCF, Memory Care",Medicaid,2,0,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00679,Washington,65,Yes,ALF,Medicaid,3,1,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00206,Washington,87,Yes,NF,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00195,Washington,148,Yes,NF,Medicaid,0,0,2,0,0,2,1,False,False,False,True,False,True,False,
OR-F00378,Washington,5,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00393,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00077,Washington,1,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00584,Washington,1,Yes,AFH,Medicaid,3,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00504,Washington,5,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00199,Washington,104,Yes,NF,Medicaid,0,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00455,Washington,5,Yes,AFH,Medicaid,4,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00544,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00112,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00766,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00765,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00566,Washington,5,Yes,AFH,Medicaid,4,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00625,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00247,Washington,5,Yes,AFH,Medicaid,1,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00643,Washington,69,No/Unknown,ALF,,5,3,4,0,0,4,2,True,False,True,True,False,True,False,
OR-F00339,Washington,23,No/Unknown,"RCF, Memory Care",,3,1,1,0,0,1,2,True,False,False,True,False,True,False,
OR-F00537,Washington,4,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00742,Washington,3,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00296,Washington,60,Yes,"RCF, Memory Care",Medicaid,7,4,5,0,0,5,1,False,False,True,True,False,True,False,
OR-F00351,Washington,42,No/Unknown,"RCF, Memory Care",,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00629,Washington,105,No/Unknown,ALF,,2,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00456,Washington,1,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00542,Washington,5,Yes,AFH,Medicaid,21,13,2,0,0,2,1,False,False,True,True,False,True,False,
OR-F00522,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,2,True,False,False,False,False,False,False,
